ATTR | apps/web/src/modules/admin/pages/AdminAuth.tsx | placeholder | admin@platform.com
TOAST | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | Failed to clear time
TOAST | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | Failed to delete feedback
TOAST | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | Failed to delete note
TOAST | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | Failed to save feedback
TOAST | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | Failed to save note
TOAST | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | Failed to save time
TOAST | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | Feedback added successfully
TOAST | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | Feedback deleted
TOAST | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | Invalid time format. Use format like 7:30 AM
TOAST | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | Job Finished must be after Job Started
TOAST | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | Job Started must be before Job Finished
TOAST | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | Note added successfully
TOAST | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | Note deleted
TOAST | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | Please enter a note
TOAST | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | Please enter feedback
TOAST | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | Review request was not sent
TOAST | apps/web/src/modules/schedule/components/InvoiceModal.tsx | Adicione pelo menos um item ao invoice.
TOAST | apps/web/src/modules/schedule/components/InvoiceModal.tsx | Cliente não encontrado no sistema. Crie o cliente primeiro.
TOAST | apps/web/src/modules/schedule/components/InvoiceModal.tsx | Erro ao enviar para QuickBooks. Invoice salvo localmente.
TOAST | apps/web/src/modules/schedule/components/InvoiceModal.tsx | Invoice criado e enviado via QuickBooks!
TOAST | apps/web/src/modules/schedule/components/InvoiceModal.tsx | Invoice downloaded!
TOAST | apps/web/src/modules/schedule/components/InvoiceModal.tsx | Não foi possível mapear o cliente no QuickBooks. Invoice salvo localmente.
TOAST | apps/web/src/modules/schedule/components/InvoiceModal.tsx | Please fill in item description and rate
TOAST | apps/web/src/modules/schedule/components/InvoiceModal.tsx | Printing invoice...
TOAST | apps/web/src/modules/schedule/components/JobStatusTracker.tsx | Your login is not linked to an active staff member.
TOAST | apps/web/src/modules/schedule/pages/SchedulePage.tsx | Customer not found. Please select an existing customer.
TOAST | apps/web/src/modules/schedule/pages/SchedulePage.tsx | Invalid file format.
TOAST | apps/web/src/modules/schedule/pages/SchedulePage.tsx | Jobs exported successfully!
TOAST | apps/web/src/modules/schedule/pages/SchedulePage.tsx | No data found in the file.
TOAST | apps/web/src/modules/schedule/pages/SchedulePage.tsx | No jobs to export.
TOAST | apps/web/src/modules/settings/components/AuditTab.tsx | Navegando para Company Settings...
TOAST | apps/web/src/modules/settings/components/AuditTab.tsx | Navegando para Leads...
TOAST | apps/web/src/modules/settings/components/AuditTab.tsx | Navegando para Payroll...
TOAST | apps/web/src/modules/settings/components/AuditTab.tsx | Navegando para Team...
TOAST | apps/web/src/modules/settings/components/AutomationsTab.tsx | Automation saved
TOAST | apps/web/src/modules/settings/components/AutomationsTab.tsx | No changes to save
TOAST | apps/web/src/modules/settings/components/AutomationsTab.tsx | Please fill in all required fields
TOAST | apps/web/src/modules/settings/components/DialpadIntegrationPanel.tsx | Falha ao copiar Redirect URI
TOAST | apps/web/src/modules/settings/components/DialpadIntegrationPanel.tsx | Redirect URI copiada
TOAST | apps/web/src/modules/settings/components/IntegrationsTabContent.tsx | Copiado para a área de transferência!
TOAST | apps/web/src/modules/settings/components/IntegrationsTabContent.tsx | Falha ao copiar
TOAST | apps/web/src/modules/settings/components/IntegrationsTabContent.tsx | Sincronização de leads desativada
TOAST | apps/web/src/modules/settings/components/TeamUserModal.tsx | Email is required to create or update the login
TOAST | apps/web/src/modules/settings/components/TeamUserModal.tsx | Please fill in all required fields
TOAST | apps/web/src/modules/settings/components/TeamUserModal.tsx | Zelle key (email or phone) is required when using Zelle as payment method
TOAST | apps/web/src/modules/settings/pages/SettingsPage.tsx | Authenticated account not found
TOAST | apps/web/src/modules/settings/pages/SettingsPage.tsx | Company settings not found
TOAST | apps/web/src/modules/settings/pages/SettingsPage.tsx | Could not change password
TOAST | apps/web/src/modules/settings/pages/SettingsPage.tsx | Could not load notification preferences
TOAST | apps/web/src/modules/settings/pages/SettingsPage.tsx | Could not save notification preferences
TOAST | apps/web/src/modules/settings/pages/SettingsPage.tsx | Could not save profile
TOAST | apps/web/src/modules/settings/pages/SettingsPage.tsx | Current password is incorrect
TOAST | apps/web/src/modules/settings/pages/SettingsPage.tsx | Full name is required
TOAST | apps/web/src/modules/settings/pages/SettingsPage.tsx | Google Review URL must start with http:// or https://
TOAST | apps/web/src/modules/settings/pages/SettingsPage.tsx | New passwords do not match
TOAST | apps/web/src/modules/settings/pages/SettingsPage.tsx | Nextdoor Review URL must start with http:// or https://
TOAST | apps/web/src/modules/settings/pages/SettingsPage.tsx | Notification preferences saved!
TOAST | apps/web/src/modules/settings/pages/SettingsPage.tsx | Password changed successfully
TOAST | apps/web/src/modules/settings/pages/SettingsPage.tsx | Password must be at least 12 characters
TOAST | apps/web/src/modules/settings/pages/SettingsPage.tsx | Please fill in all password fields
TOAST | apps/web/src/modules/settings/pages/SettingsPage.tsx | Profile saved successfully!
TOAST | apps/web/src/modules/settings/pages/SettingsPage.tsx | Profile saved, but login metadata synchronization needs attention
TOAST | apps/web/src/modules/settings/pages/SyncLogsPage.tsx | Cannot retry: No local ID available
TOAST | apps/web/src/modules/settings/pages/SyncLogsPage.tsx | Logs exported successfully
TOAST | apps/web/src/modules/settings/pages/SyncLogsPage.tsx | Sync logs cleared
TOAST | apps/web/src/modules/transactions/components/TransactionModal.tsx | Por favor, insira o nome da transação
TOAST | apps/web/src/modules/transactions/components/TransactionModal.tsx | Por favor, insira o valor
TOAST | apps/web/src/modules/transactions/components/TransactionModal.tsx | Por favor, selecione a categoria
TOAST | apps/web/src/modules/transactions/components/TransactionModal.tsx | Por favor, selecione a data
TOAST | apps/web/src/modules/transactions/components/TransactionModal.tsx | Por favor, selecione o tipo da transação
LOCALE | apps/web/src/modules/admin/pages/AdminDashboard.tsx | toLocaleString("pt-BR"
LOCALE | apps/web/src/modules/billing/pages/BillingPage.tsx | new Intl.NumberFormat('en-US'
LOCALE | apps/web/src/modules/crm/customers/components/CustomerChatTab.tsx | toLocaleString("en-US"
LOCALE | apps/web/src/modules/crm/customers/components/CustomerDetailsModal.tsx | toLocaleDateString("en-US"
LOCALE | apps/web/src/modules/payroll/pages/PayrollPage.tsx | toLocaleString("en-US"
LOCALE | apps/web/src/modules/payroll/pages/PayrollPage.tsx | toLocaleString("pt-BR"
LOCALE | apps/web/src/modules/payroll/pages/PayrollPage.tsx | toLocaleString('en-US'
LOCALE | apps/web/src/modules/reports/components/AnalyticsTab.tsx | new Intl.NumberFormat('en-US'
LOCALE | apps/web/src/modules/schedule/calendar/CalendarGrid.tsx | toLocaleDateString("en-US"
LOCALE | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | toLocaleDateString("en-US"
LOCALE | apps/web/src/modules/settings/components/DialpadIntegrationPanel.tsx | toLocaleDateString("pt-BR"
LOCALE | apps/web/src/modules/settings/components/IntegrationsTabContent.tsx | toLocaleDateString("pt-BR"
LOCALE | apps/web/src/modules/transactions/components/TransactionModal.tsx | new Intl.NumberFormat("en-US"
LOCALE | apps/web/src/modules/transactions/pages/RulesPage.tsx | toLocaleDateString("pt-BR"
LOCALE | apps/web/src/modules/transactions/pages/TransactionsPage.tsx | new Intl.DateTimeFormat("pt-BR"
LOCALE | apps/web/src/modules/transactions/pages/TransactionsPage.tsx | new Intl.NumberFormat("pt-BR"
